iter	Passed	Remaining
0	9	9852
1	20	10113
2	25	8534
3	31	7749
4	37	7522
5	42	7081
6	48	6871
7	55	6856
8	63	6979
9	68	6777
10	75	6776
11	80	6611
12	86	6589
13	97	6886
14	103	6789
15	110	6801
16	115	6667
17	119	6513
18	128	6651
19	135	6650
20	142	6641
21	147	6541
22	153	6504
23	158	6460
24	167	6522
25	172	6458
26	177	6386
27	184	6393
28	190	6377
29	197	6395
30	205	6433
31	211	6384
32	217	6381
33	221	6295
34	228	6299
35	236	6320
36	240	6272
37	246	6242
38	254	6269
39	261	6274
40	268	6285
41	276	6308
42	284	6324
43	290	6322
44	298	6339
45	306	6346
46	313	6364
47	321	6382
48	331	6428
49	337	6405
50	344	6404
51	358	6541
52	364	6511
53	371	6502
54	380	6532
55	387	6526
56	396	6556
57	408	6634
58	419	6685
59	431	6763
60	443	6822
61	451	6823
62	455	6777
63	462	6767
64	472	6798
65	479	6792
66	484	6750
67	494	6776
68	500	6749
69	506	6732
70	515	6748
71	521	6722
72	527	6699
73	534	6683
74	539	6657
75	546	6638
76	550	6597
77	554	6558
78	559	6526
79	565	6504
80	573	6509
81	581	6514
82	588	6505
83	594	6488
84	602	6490
85	607	6458
86	613	6442
87	623	6457
88	630	6454
89	635	6421
90	642	6421
91	649	6406
92	655	6394
93	664	6401
94	671	6396
95	678	6391
96	687	6396
97	694	6387
98	701	6384
99	708	6373
100	712	6342
101	717	6312
102	721	6283
103	725	6254
104	730	6223
105	734	6197
106	739	6171
107	744	6145
108	748	6121
109	753	6096
110	758	6075
111	762	6048
112	767	6024
113	772	6003
114	777	5982
115	781	5958
116	787	5940
117	790	5908
118	796	5895
119	803	5891
120	807	5868
121	812	5847
122	817	5826
123	821	5806
124	826	5783
125	830	5763
126	835	5744
127	840	5724
128	846	5713
129	853	5712
130	857	5690
131	862	5671
132	867	5651
133	871	5629
134	875	5607
135	881	5598
136	885	5579
137	889	5557
138	894	5541
139	898	5521
140	902	5500
141	907	5481
142	911	5461
143	915	5442
144	920	5425
145	924	5407
146	929	5392
147	934	5381
148	939	5365
149	945	5358
150	952	5352
151	957	5339
152	963	5332
153	971	5334
154	975	5318
155	980	5302
156	984	5285
157	988	5269
158	993	5256
159	998	5243
160	1002	5226
161	1007	5211
162	1012	5197
163	1017	5185
164	1022	5174
165	1027	5162
166	1032	5149
167	1037	5137
168	1042	5125
169	1046	5110
170	1051	5096
171	1055	5082
172	1060	5069
173	1064	5052
174	1068	5037
175	1072	5022
176	1077	5007
177	1081	4995
178	1086	4981
179	1090	4968
180	1095	4957
181	1100	4944
182	1104	4931
183	1108	4918
184	1113	4905
185	1118	4892
186	1122	4880
187	1126	4866
188	1130	4852
189	1134	4838
190	1139	4826
191	1143	4812
192	1147	4797
193	1151	4786
194	1155	4771
195	1159	4757
196	1163	4743
197	1167	4728
198	1171	4714
199	1175	4700
200	1179	4687
201	1183	4674
202	1187	4662
203	1191	4649
204	1195	4636
205	1199	4623
206	1203	4610
207	1207	4597
208	1211	4583
209	1215	4570
210	1218	4557
211	1222	4545
212	1226	4531
213	1230	4520
214	1234	4507
215	1238	4493
216	1241	4481
217	1245	4468
218	1249	4455
219	1253	4443
220	1256	4430
221	1260	4418
222	1264	4407
223	1268	4395
224	1272	4383
225	1276	4371
226	1280	4359
227	1284	4347
228	1287	4335
229	1291	4323
230	1295	4311
231	1298	4299
232	1302	4288
233	1306	4276
234	1309	4264
235	1313	4252
236	1317	4241
237	1321	4229
238	1324	4218
239	1328	4206
240	1332	4195
241	1335	4184
242	1339	4173
243	1343	4161
244	1346	4150
245	1350	4139
246	1354	4129
247	1358	4118
248	1361	4107
249	1365	4096
250	1369	4086
251	1372	4075
252	1376	4064
253	1380	4053
254	1383	4042
255	1387	4032
256	1391	4022
257	1394	4011
258	1398	4001
259	1402	3991
260	1406	3981
261	1410	3972
262	1414	3962
263	1417	3953
264	1421	3943
265	1425	3933
266	1429	3924
267	1433	3915
268	1437	3905
269	1441	3896
270	1445	3887
271	1449	3878
272	1452	3869
273	1456	3859
274	1460	3850
275	1464	3841
276	1468	3831
277	1471	3822
278	1475	3813
279	1479	3804
280	1483	3794
281	1486	3785
282	1490	3776
283	1494	3766
